Node_id,Name,Mac_add,x,y
BR,SCRC LAB,"fd12:3456::5232:5fff:fe42:8b7b",300,300
WN-LP01-03,Smart pole,fd12:3456::5232:5fff:fe42:61c6,230,200
WN-LP02-02,Vindhya A2 (79E&79D),"fd12:3456::b6e3:f9ff:fea6:2e7",200,470
WN-LP03-02,Vindhya A2-A4 (79F),"fd12:3456::5232:5fff:fe42:8a37",300,520
WN-LP04-02,Vindhya A4 (79B&79C),"fd12:3456::b6e3:f9ff:fea6:314",300,650
WN-LP05-02,Vindhya A6 (79A),"fd12:3456::b6e3:f9ff:fea6:53e",300,850
WN-LP06-01,Pole 26,fd12:3456::5232:5fff:fe42:5ea0,670,78.350954
WN-LP07-01,Pole 25,fd12:3456::5232:5fff:fe42:5df9,650,78.350744
WN-LP08-01,Pole 22,fd12:3456::5232:5fff:fe42:5e26,550,78.350564
WN-LP09-01,Pole 21,fd12:3456::5232:5fff:fe42:6155,530,78.350410
WN-LP10-01,Pole 20,fd12:3456::5232:5fff:fe42:61b0,400,78.350241
WN-LP11-01,Pole 19,fd12:3456::5232:5fff:fe42:6039,300,78.350024
WN-LP12-01,Pole 18,fd12:3456::5232:5fff:fe42:5dd8,250,78.349925
WN-LP13-01,Pole 66,fd12:3456::5232:5fff:fe42:619d,100,400
WN-LP14-01,Pole 65,fd12:3456::5232:5fff:fe42:614d,100,500
WN-LP15-01,Pole 64,fd12:3456::5232:5fff:fe42:6177,100,600
WN-LP16-01,Pole 63,fd12:3456::5232:5fff:fe42:6160,100,700
WN-LP17-01,Pole 62,fd12:3456::5232:5fff:fe42:6154,100,800
WN-LP18-01,Pole 61,fd12:3456::5232:5fff:fe42:5def,100,900
WN-LP19-01,Pole 60,fd12:3456::5232:5fff:fe42:61d0,100,1000
WN-LP20-01,Pole 59,fd12:3456::5232:5fff:fe42:61c9,100,1100
WN-LP21-01,Pole 67,fd12:3456::5232:5fff:fe42:61d2,200,1250
WN-LP22-01,Pole 78,fd12:3456::5232:5fff:fe42:5e8e,300,1280
WN-LP23-01,Pole 77,fd12:3456::5232:5fff:fe42:5e01,350,1250
WN-LP24-01,Pole 80,fd12:3456::5232:5fff:fe42:6168,450,1250
WN-LP25-01,Pole 81,fd12:3456::5232:5fff:fe42:60ac,500,1250
WN-LP26-01,Pole 82,fd12:3456::5232:5fff:fe42:61cf,650,1250
WN-LP27-01,Pole 83,fd12:3456::5232:5fff:fe42:5e2a,650,1250
WN-LP28-01,Pole 84,fd12:3456::5232:5fff:fe42:61ef,671,1150
WN-LP29-01,Pole 58,fd12:3456::5232:5fff:fe42:607c,100,1200
WN-LP30-01,Pole 79,fd12:3456::5232:5fff:fe42:61c7,300,1150
